Nostradamus local server -> http://127.0.0.1:8000
  static root : C:\Users\nicho\Nostradamus_remote_audit
  decisions   : C:\Users\nicho\Nostradamus_remote_audit\data\investor_v3\decisions.json
INFO:     127.0.0.1:57990 - "GET /css/oracle-theme.css HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:52145 - "GET /css/architecture.css HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:61436 - "GET /js/rh-app.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:61436 - "GET /js/rh-help.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:52145 - "GET /js/rh-pages/arena.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:52145 - "GET /js/ui/book-adapter.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/command-center HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:56107 - "GET / HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:56107 - "GET /js/rh-pages/arena.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:53475 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61081 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61081 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61081 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61081 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:55224 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:55224 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:55224 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:55224 - "GET /api/retrain/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:55224 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:55224 - "GET /api/decisions HTTP/1.1" 200 OK
INFO:     127.0.0.1:51698 - "GET / HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:51698 - "GET /css/oracle-theme.css HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:52033 - "GET /js/rh-app.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:52033 - "GET /js/rh-help.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:52033 - "GET /js/rh-pages/arena.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:52033 - "GET /js/ui/book-adapter.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:52033 - "GET /favicon.ico HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:51742 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:51742 - "GET /css/rh-theme.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:62969 - "GET /css/oracle-theme.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:62523 - "GET /css/investor.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:54677 - "GET /css/arena.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:62130 - "GET /css/architecture.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:61079 - "GET /js/rh-app.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:54677 - "GET /js/rh-pages/home.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:62523 - "GET /js/rh-pages/investor-page.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:51742 - "GET /js/rh-pages/chat.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:62130 - "GET /js/rh-pages/markets.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:62969 - "GET /js/rh-pages/trade.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:61079 - "GET /js/rh-help.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:62523 - "GET /js/rh-pages/stock.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:54677 - "GET /js/rh-pages/architecture.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:51742 - "GET /js/rh-pages/predictions.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:62130 - "GET /js/rh-pages/penny.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:62969 - "GET /js/rh-pages/arena.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:61079 - "GET /js/rh-pages/megamind.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:54677 - "GET /js/ui/investor.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:62523 - "GET /js/rh-api.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:61079 - "GET /js/ui/book-adapter.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:61079 - "GET /js/utils/helpers.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:61079 - "GET /api/command-center HTTP/1.1" 200 OK
